t,label,ee_x_mm,ee_y_mm,ee_z_mm,displacement_mm,stability_elapsed_sec,marker_0_x,marker_0_y,marker_0_z,marker_0_stable,marker_1_x,marker_1_y,marker_1_z,marker_1_stable,marker_2_x,marker_2_y,marker_2_z,marker_2_stable,marker_3_x,marker_3_y,marker_3_z,marker_3_stable,marker_4_x,marker_4_y,marker_4_z,marker_4_stable
0.0,start,471.771,501.804,560.283,0.0,0.757,-0.15107719105409106,-0.01854183328667148,0.3753344157563692,1,-0.08006596088445841,-0.01911255083312898,0.37600186100408767,1,-0.010297349126302976,-0.01665091600293927,0.3703685633697,1,0.052429001176349556,-0.004274270069687394,0.37015081749143486,1,0.1006929044909642,0.03994750974467997,0.3636397431176546,1
1.682332,grid_0001_y500_z530,473.613,500.599,532.194,28.175111534828094,0.736,-0.15501374834507553,0.012487140382629575,0.3768027318363849,1,-0.0832521564917053,0.003154293791572732,0.37616352599144587,1,-0.013439462809137645,-0.005022832021229377,0.3624695592261343,1,0.048955951044840566,-0.0010587671321076997,0.3677996051004637,1,0.10326446166459582,0.041462780880339056,0.37439173699116635,1
2.318368,grid_0002_y502_z530,473.584,501.03,531.424,28.926249774210312,0.626,-0.15508249452234865,0.013553218898413488,0.3776646604792589,1,-0.08283332615279929,0.003444081389162644,0.3742174781682771,1,-0.01347251854539155,-0.0049296838185317144,0.3651817744193126,1,0.04913728630113047,-0.0009334365767469909,0.36666978383447585,1,0.10366696922983017,0.04161192818917202,0.37590247246868114,1
2.953058,grid_0003_y504_z530,473.332,502.201,530.233,30.093135928314354,0.624,-0.1525267210787092,0.014277453975234894,0.3737161372934752,1,-0.08068709550320981,0.003439175905777925,0.3692288017862242,1,-0.012886295949543335,-0.005813915384486407,0.3658060145643016,1,0.04990009146037714,-0.0017291211542559796,0.36733298532221886,1,0.10163388114013006,0.040453464272918294,0.36750428372841826,1
3.713685,grid_0004_y506_z530,473.443,504.129,530.186,30.23293928813404,0.75,-0.15190581462449382,0.014816069440006227,0.37809754607421114,1,-0.07919985183298316,0.002272905549674678,0.37142942107792176,1,-0.01110737536575738,-0.00820996342497983,0.36743053857275293,1,0.05097810170203352,-0.0033579696131204135,0.36329219002731095,1,0.10174828145339951,0.04033055554579747,0.36704530287273074,1
4.356947,grid_0005_y508_z530,473.295,506.427,529.921,30.74972762480992,0.634,-0.1491245522205868,0.014687667828077294,0.376627259334121,1,-0.07787643198592106,0.0009477035489387338,0.37392721685440755,1,-0.009396420410626615,-0.010194258758406212,0.36485463375892346,1,0.052425865678492035,-0.004729519770650046,0.36329131468120923,1,0.10247915124258741,0.040597542395567475,0.36863694471662456,1
5.008939,grid_0006_y510_z530,473.453,508.259,529.625,31.375294628098736,0.643,-0.14594409605263936,0.014667794838494045,0.3741360894262612,1,-0.0751124086696234,-0.00016908560864492133,0.37054954642799126,1,-0.007569101258609756,-0.01220444520882501,0.36250041305912456,1,0.054020467354104665,-0.006470635177318616,0.3630220113023557,1,0.10249839370737804,0.04028336415218291,0.3678120734087412,1
5.749335,grid_0007_y512_z530,473.28,510.493,529.445,32.07425830787047,0.729,-0.14402357794906226,0.014704283661822809,0.3745986948724445,1,-0.07335683265467048,-0.0016049667331280528,0.3704379479948926,1,-0.005856328630385992,-0.014491287213633006,0.3638373629449454,1,0.05608688818483809,-0.0077092369194402734,0.3661322507834563,1,0.10353642469360021,0.0405831476720229,0.3704771767911593,1
6.388472,grid_0008_y514_z530,473.362,512.381,529.345,32.73475300044281,0.629,-0.1414471131091879,0.014564562628685029,0.37377605721202917,1,-0.0711624183237218,-0.0030490045712879815,0.36960175975449777,1,-0.004110223430288024,-0.016603784297653475,0.3621719609478844,1,0.05757428852344437,-0.008905756305079452,0.3645059782961798,1,0.1018208857710998,0.0397220341461069,0.3631356112006506,1
7.035967,grid_0009_y516_z530,473.323,514.286,529.628,33.13514830206736,0.636,-0.13944722751634436,0.014237853285116559,0.37475729554143483,1,-0.0690119433925113,-0.004312084355594423,0.36815152231527815,1,-0.0023865577794016666,-0.018726212384516577,0.3640303101408319,1,0.0587028997254625,-0.010168785573865465,0.36279693499151955,1,0.1029745700615194,0.039811888177552754,0.36616765355208836,1
